ID,BUSINESS_NAME,PROPERTY_ADDRESS,CITY,STATE,COUNTRY,FULL_ADDRESS,STATUS,NOTES
407,DILLARD'S,4500 ASHFORD DUNWOODY RD,DUNWOODY,GEORGIA,USA,"4500 ASHFORD DUNWOODY RD DUNWOODY, GEORGIA USA",,
409,NORDSTROM,4390 ASHFORD DUNWOODY RD 760,DUNWOODY,GEORGIA,USA,"4390 ASHFORD DUNWOODY RD 760 DUNWOODY, GEORGIA USA",,
410,MACY'S #20,4300 ASHFORD DUNWOODY RD,DUNWOODY,GEORGIA,USA,"4300 ASHFORD DUNWOODY RD DUNWOODY, GEORGIA USA",,
411,TARGET STORE T2036,100 PERIMETER CTR W,DUNWOODY,GEORGIA,USA,"100 PERIMETER CTR W DUNWOODY, GEORGIA USA",,
412,WAL MART SUPERCENTER #2360,4498 CHAMBLEE DUNWOODY RD,DUNWOODY,GEORGIA,USA,"4498 CHAMBLEE DUNWOODY RD DUNWOODY, GEORGIA USA",,
422,DUNWOODY FLOWERS,4656 KINGS DOWN RD,DUNWOODY,GEORGIA,USA,"4656 KINGS DOWN RD DUNWOODY, GEORGIA USA",,
425,DATED EVENTS LLC,1862 INDEPENDENCE SQ A,DUNWOODY,GEORGIA,USA,"1862 INDEPENDENCE SQ A DUNWOODY, GEORGIA USA",,
434,ENCHANTED FOREST LLC,5580 CHAMBLEE DUNWOODY RD 6,DUNWOODY,GEORGIA,USA,"5580 CHAMBLEE DUNWOODY RD 6 DUNWOODY, GEORGIA USA",,
440,TUESDAY MORNING #134,4522 CHAMBLEE DUNWOODY RD 104B,DUNWOODY,GEORGIA,USA,"4522 CHAMBLEE DUNWOODY RD 104B DUNWOODY, GEORGIA USA",,
441,MORI LUGGAGE & GIFTS INC,4400 ASHFORD DUNWOODY RD 2585,DUNWOODY,GEORGIA,USA,"4400 ASHFORD DUNWOODY RD 2585 DUNWOODY, GEORGIA USA",,
446,PETLAND DUNWOODY,4733 ASHFORD DUNWOODY RD,DUNWOODY,GEORGIA,USA,"4733 ASHFORD DUNWOODY RD DUNWOODY, GEORGIA USA",,
447,PETSMART INC #290,128 PERIMETER CTR W,DUNWOODY,GEORGIA,USA,"128 PERIMETER CTR W DUNWOODY, GEORGIA USA",,
466,PRIME HARWOOD FLOORS LLC,5000 WINTERS CHAPEL RD 9,DUNWOODY,GEORGIA,USA,"5000 WINTERS CHAPEL RD 9 DUNWOODY, GEORGIA USA",,
